Прибор: ;Hydra-L (01); ; Интервал: ;2023-07-11 19:19:00; / ;2023-07-17 19:19:00;
Date;BME280_temp;BME280_pressure;BME280_humidity;
2023-07-11 19:19:39;27.39;742.91;43.73;
2023-07-11 19:20:39;27.38;742.93;43.73;
2023-07-11 19:21:39;27.39;742.93;43.72;
2023-07-11 19:22:39;27.39;742.93;43.72;
2023-07-11 19:23:39;27.4;742.9;43.68;
2023-07-11 19:24:39;27.38;742.92;43.72;
2023-07-11 19:25:39;27.38;742.89;43.71;
2023-07-11 19:26:39;27.38;742.89;43.69;
2023-07-11 19:27:40;27.38;742.87;43.69;
2023-07-11 19:28:39;27.39;742.85;43.67;
2023-07-11 19:29:39;27.39;742.86;43.68;
2023-07-11 19:30:39;27.38;742.84;43.67;
2023-07-11 19:31:39;27.39;742.83;43.65;
2023-07-11 19:32:40;27.39;742.83;43.65;
2023-07-11 19:33:39;27.38;742.83;43.67;
2023-07-11 19:34:39;27.38;742.82;43.66;
2023-07-11 19:35:39;27.37;742.8;43.67;
2023-07-11 19:36:39;27.36;742.79;43.68;
2023-07-11 19:37:39;27.36;742.76;43.67;
2023-07-11 19:38:39;27.36;742.75;43.69;
2023-07-11 19:39:39;27.36;742.74;43.67;
2023-07-11 19:40:39;27.36;742.72;43.67;
2023-07-11 19:41:39;27.35;742.74;43.69;
2023-07-11 19:42:39;27.35;742.75;43.68;
2023-07-11 19:43:39;27.35;742.74;43.68;
2023-07-11 19:44:39;27.34;742.75;43.69;
2023-07-11 19:45:39;27.35;742.73;43.68;
2023-07-11 19:46:39;27.36;742.74;43.65;
2023-07-11 19:47:39;27.36;742.75;43.64;
2023-07-11 19:48:39;27.36;742.75;43.63;
2023-07-11 19:49:39;27.36;742.77;43.62;
2023-07-11 19:50:39;27.36;742.74;43.61;
2023-07-11 19:51:39;27.33;742.75;43.67;
2023-07-11 19:52:39;27.35;742.72;43.61;
2023-07-11 19:53:39;27.34;742.75;43.63;
2023-07-11 19:54:39;27.35;742.75;43.62;
2023-07-11 19:55:39;27.34;742.74;43.63;
2023-07-11 19:56:39;27.34;742.75;43.61;
2023-07-11 19:57:39;27.35;742.72;43.6;
2023-07-11 19:58:39;27.34;742.75;43.61;
2023-07-11 19:59:39;27.33;742.73;43.62;
2023-07-11 20:00:39;27.34;742.72;43.61;
2023-07-11 20:01:39;27.32;742.74;43.63;
2023-07-11 20:02:39;27.33;742.72;43.62;
2023-07-11 20:03:39;27.32;742.74;43.64;
2023-07-11 20:04:39;27.33;742.74;43.62;
2023-07-11 20:05:39;27.33;742.72;43.6;
2023-07-11 20:06:39;27.33;742.69;43.61;
2023-07-11 20:07:39;27.32;742.68;43.62;
2023-07-11 20:08:39;27.31;742.7;43.62;
2023-07-11 20:09:39;27.33;742.68;43.6;
2023-07-11 20:10:40;27.32;742.69;43.6;
2023-07-11 20:11:39;27.32;742.69;43.58;
2023-07-11 20:12:40;27.31;742.69;43.6;
2023-07-11 20:13:43;27.32;742.68;43.57;
2023-07-11 20:14:39;27.32;742.7;43.57;
2023-07-11 20:15:39;27.33;742.7;43.56;
2023-07-11 20:16:39;27.32;742.7;43.55;
2023-07-11 20:17:39;27.33;742.7;43.54;
2023-07-11 20:18:39;27.32;742.7;43.56;
2023-07-11 20:19:39;27.31;742.7;43.58;
2023-07-11 20:20:40;27.32;742.73;43.56;
2023-07-11 20:21:39;27.31;742.71;43.57;
